chunk_id,doc_id,pdf_page,chunk_ordinal,source_channel,chars,actual_text_tokens,actual_rendered_tokens,est_tokens,est_prompt_tokens,header_increment,chars_per_actual_token,ratio_text_actual_over_est,ratio_rendered_actual_over_est_prompt,labels
CMM:p12:1,CMM,12,1,native,1250,252,261,312,326,9,4.960317,0.807692,0.800613,none_observed
CMM:p12:2,CMM,12,2,native,274,58,67,68,82,9,4.724138,0.852941,0.817073,none_observed
CMM:p130:0,CMM,130,0,ocr,1075,311,322,268,282,11,3.456592,1.160448,1.141844,none_observed
CMM:p131:0,CMM,131,0,native,1339,283,294,334,348,11,4.731449,0.847305,0.844828,none_observed
CMM:p131:1,CMM,131,1,native,1037,237,248,259,273,11,4.375527,0.915058,0.908425,none_observed
CMM:p132:0,CMM,132,0,native,1379,335,346,344,358,11,4.116418,0.973837,0.96648,none_observed
CMM:p132:1,CMM,132,1,native,1016,220,231,254,268,11,4.618182,0.866142,0.86194,none_observed
CMM:p133:0,CMM,133,0,native,1062,240,251,265,279,11,4.425,0.90566,0.899642,none_observed
CMM:p13:0,CMM,13,0,native,1406,281,290,351,365,9,5.003559,0.80057,0.794521,none_observed
CMM:p13:1,CMM,13,1,native,532,108,117,133,147,9,4.925926,0.81203,0.795918,none_observed
CMM:p13:2,CMM,13,2,native,1100,249,258,275,289,9,4.417671,0.905455,0.892734,none_observed
CMM:p13:3,CMM,13,3,native,945,198,207,236,250,9,4.772727,0.838983,0.828,none_observed
CMM:p14:0,CMM,14,0,native,1162,228,237,290,304,9,5.096491,0.786207,0.779605,none_observed
CMM:p14:1,CMM,14,1,native,774,143,152,193,207,9,5.412587,0.740933,0.7343,none_observed
CMM:p14:2,CMM,14,2,native,801,148,157,200,214,9,5.412162,0.74,0.733645,none_observed
CMM:p14:3,CMM,14,3,native,767,144,153,191,205,9,5.326389,0.753927,0.746341,none_observed
CMM:p15:0,CMM,15,0,native,1254,241,250,313,327,9,5.20332,0.769968,0.764526,none_observed
CMM:p15:1,CMM,15,1,native,933,193,202,233,247,9,4.834197,0.828326,0.817814,none_observed
CMM:p15:2,CMM,15,2,native,772,142,151,193,207,9,5.43662,0.735751,0.729469,none_observed
CMM:p16:0,CMM,16,0,native,1225,225,234,306,320,9,5.444444,0.735294,0.73125,none_observed
CMM:p16:1,CMM,16,1,native,1144,231,240,286,300,9,4.952381,0.807692,0.8,none_observed
CMM:p16:2,CMM,16,2,native,1219,253,262,304,318,9,4.818182,0.832237,0.823899,none_observed
CMM:p17:0,CMM,17,0,native,841,183,192,210,224,9,4.595628,0.871429,0.857143,none_observed
CMM:p17:1,CMM,17,1,native,1219,241,250,304,318,9,5.058091,0.792763,0.786164,none_observed
CMM:p17:2,CMM,17,2,native,1082,227,236,270,284,9,4.76652,0.840741,0.830986,none_observed
CMM:p18:0,CMM,18,0,native,1127,248,257,281,295,9,4.544355,0.882562,0.871186,none_observed
CMM:p18:1,CMM,18,1,native,1339,273,282,334,348,9,4.904762,0.817365,0.810345,none_observed
CMM:p18:2,CMM,18,2,native,664,145,154,166,180,9,4.57931,0.873494,0.855556,none_observed
CMM:p19:0,CMM,19,0,native,1323,257,266,330,344,9,5.14786,0.778788,0.773256,none_observed
CMM:p19:1,CMM,19,1,native,412,77,86,103,117,9,5.350649,0.747573,0.735043,none_observed
CMM:p20:0,CMM,20,0,native,1437,172,181,359,373,9,8.354651,0.479109,0.485255,none_observed
CMM:p20:1,CMM,20,1,native,1327,303,312,331,345,9,4.379538,0.915408,0.904348,none_observed
CMM:p20:2,CMM,20,2,native,1390,300,309,347,361,9,4.633333,0.864553,0.855956,none_observed
CMM:p20:3,CMM,20,3,native,544,115,124,136,150,9,4.730435,0.845588,0.826667,none_observed
CMM:p21:0,CMM,21,0,native,1383,301,310,345,359,9,4.594684,0.872464,0.86351,none_observed
CMM:p21:1,CMM,21,1,native,1265,267,276,316,330,9,4.737828,0.844937,0.836364,none_observed
CMM:p21:2,CMM,21,2,native,261,59,68,65,79,9,4.423729,0.907692,0.860759,none_observed
CMM:p22:0,CMM,22,0,native,1019,281,290,254,268,9,3.626335,1.106299,1.08209,none_observed
CMM:p23:0,CMM,23,0,native,1187,268,277,296,310,9,4.429104,0.905405,0.893548,none_observed
CMM:p23:1,CMM,23,1,native,681,116,125,170,184,9,5.87069,0.682353,0.679348,none_observed
CMM:p23:2,CMM,23,2,native,1043,168,177,260,274,9,6.208333,0.646154,0.645985,none_observed
CMM:p23:3,CMM,23,3,native,847,160,169,211,225,9,5.29375,0.758294,0.751111,none_observed
CMM:p24:0,CMM,24,0,native,481,83,92,120,134,9,5.795181,0.691667,0.686567,none_observed
CMM:p24:1,CMM,24,1,native,1385,210,219,346,360,9,6.595238,0.606936,0.608333,none_observed
CMM:p24:2,CMM,24,2,native,1352,219,228,338,352,9,6.173516,0.647929,0.647727,none_observed
CMM:p24:3,CMM,24,3,native,131,18,27,32,46,9,7.277778,0.5625,0.586957,none_observed
CMM:p25:0,CMM,25,0,native,634,120,129,158,172,9,5.283333,0.759494,0.75,none_observed
CMM:p26:0,CMM,26,0,native,524,122,131,131,145,9,4.295082,0.931298,0.903448,none_observed
CMM:p27:0,CMM,27,0,native,291,77,86,72,86,9,3.779221,1.069444,1.0,none_observed
CMM:p27:1,CMM,27,1,native,1343,271,280,335,349,9,4.95572,0.808955,0.802292,none_observed
CMM:p27:2,CMM,27,2,native,362,68,77,90,104,9,5.323529,0.755556,0.740385,none_observed
CMM:p27:3,CMM,27,3,native,856,179,188,214,228,9,4.782123,0.836449,0.824561,none_observed
CMM:p27:4,CMM,27,4,native,1333,281,290,333,347,9,4.743772,0.843844,0.835735,none_observed
CMM:p28:0,CMM,28,0,native,1365,301,310,341,355,9,4.534884,0.882698,0.873239,none_observed
CMM:p28:1,CMM,28,1,native,959,129,138,239,253,9,7.434109,0.539749,0.545455,none_observed
CMM:p28:2,CMM,28,2,native,1290,254,263,322,336,9,5.07874,0.78882,0.782738,none_observed
CMM:p29:0,CMM,29,0,native,308,80,89,77,91,9,3.85,1.038961,0.978022,none_observed
CMM:p29:1,CMM,29,1,native,1368,308,317,342,356,9,4.441558,0.900585,0.890449,none_observed
CMM:p29:2,CMM,29,2,native,900,165,174,225,239,9,5.454545,0.733333,0.728033,none_observed
CMM:p29:3,CMM,29,3,native,808,184,193,202,216,9,4.391304,0.910891,0.893519,none_observed
CMM:p2:0,CMM,2,0,native,1334,303,314,333,347,11,4.40264,0.90991,0.904899,none_observed
CMM:p2:1,CMM,2,1,native,1219,362,373,304,318,11,3.367403,1.190789,1.172956,none_observed
CMM:p2:2,CMM,2,2,native,251,68,79,62,76,11,3.691176,1.096774,1.039474,none_observed
CMM:p30:0,CMM,30,0,native,744,183,192,186,200,9,4.065574,0.983871,0.96,none_observed
CMM:p30:1,CMM,30,1,native,1328,319,328,332,346,9,4.163009,0.960843,0.947977,none_observed
CMM:p30:2,CMM,30,2,native,580,140,149,145,159,9,4.142857,0.965517,0.937107,none_observed
CMM:p30:3,CMM,30,3,native,997,260,269,249,263,9,3.834615,1.044177,1.022814,none_observed
CMM:p31:0,CMM,31,0,native,1354,335,344,338,352,9,4.041791,0.991124,0.977273,none_observed
CMM:p31:1,CMM,31,1,native,1398,313,322,349,363,9,4.466454,0.896848,0.887052,none_observed
CMM:p31:2,CMM,31,2,native,273,63,72,68,82,9,4.333333,0.926471,0.878049,none_observed
CMM:p31:3,CMM,31,3,native,933,212,221,233,247,9,4.400943,0.909871,0.894737,none_observed
CMM:p32:0,CMM,32,0,native,1253,250,259,313,327,9,5.012,0.798722,0.792049,none_observed
CMM:p32:1,CMM,32,1,native,1364,296,305,341,355,9,4.608108,0.868035,0.859155,none_observed
CMM:p32:2,CMM,32,2,native,946,134,143,236,250,9,7.059701,0.567797,0.572,none_observed
CMM:p33:0,CMM,33,0,native,1379,324,333,344,358,9,4.256173,0.94186,0.930168,none_observed
CMM:p33:1,CMM,33,1,native,1369,317,326,342,356,9,4.318612,0.926901,0.91573,none_observed
CMM:p33:2,CMM,33,2,native,769,170,179,192,206,9,4.523529,0.885417,0.868932,none_observed
CMM:p34:0,CMM,34,0,native,1396,302,311,349,363,9,4.622517,0.86533,0.856749,none_observed
CMM:p34:1,CMM,34,1,native,293,78,87,73,87,9,3.75641,1.068493,1.0,none_observed
CMM:p34:2,CMM,34,2,native,1364,272,281,341,355,9,5.014706,0.797654,0.791549,none_observed
CMM:p34:3,CMM,34,3,native,217,43,52,54,68,9,5.046512,0.796296,0.764706,none_observed
CMM:p34:4,CMM,34,4,native,835,159,168,208,222,9,5.251572,0.764423,0.756757,none_observed
CMM:p35:0,CMM,35,0,native,997,257,266,249,263,9,3.879377,1.032129,1.011407,none_observed
CMM:p35:1,CMM,35,1,native,1144,254,263,286,300,9,4.503937,0.888112,0.876667,none_observed
CMM:p35:2,CMM,35,2,native,1355,301,310,338,352,9,4.501661,0.890533,0.880682,none_observed
CMM:p35:3,CMM,35,3,native,158,35,44,39,53,9,4.514286,0.897436,0.830189,none_observed
CMM:p36:0,CMM,36,0,native,1371,262,271,342,356,9,5.232824,0.766082,0.761236,none_observed
CMM:p36:1,CMM,36,1,native,592,141,150,148,162,9,4.198582,0.952703,0.925926,none_observed
CMM:p36:2,CMM,36,2,native,1016,214,223,254,268,9,4.747664,0.84252,0.83209,none_observed
CMM:p36:3,CMM,36,3,native,661,140,149,165,179,9,4.721429,0.848485,0.832402,none_observed
CMM:p37:0,CMM,37,0,native,1192,200,209,298,312,9,5.96,0.671141,0.669872,none_observed
CMM:p37:1,CMM,37,1,native,974,207,216,243,257,9,4.705314,0.851852,0.840467,none_observed
CMM:p37:2,CMM,37,2,native,1077,213,222,269,283,9,5.056338,0.791822,0.784452,none_observed
CMM:p38:0,CMM,38,0,native,773,222,231,193,207,9,3.481982,1.150259,1.115942,none_observed
CMM:p39:0,CMM,39,0,native,878,177,186,219,233,9,4.960452,0.808219,0.798283,none_observed
CMM:p39:1,CMM,39,1,native,574,125,134,143,157,9,4.592,0.874126,0.853503,none_observed
CMM:p39:2,CMM,39,2,native,952,162,171,238,252,9,5.876543,0.680672,0.678571,none_observed
CMM:p39:3,CMM,39,3,native,1210,221,230,302,316,9,5.475113,0.731788,0.727848,none_observed
CMM:p3:0,CMM,3,0,native,1390,393,404,347,361,11,3.536896,1.132565,1.119114,none_observed
CMM:p3:1,CMM,3,1,native,955,230,241,238,252,11,4.152174,0.966387,0.956349,none_observed
CMM:p40:0,CMM,40,0,native,1278,276,285,319,333,9,4.630435,0.865204,0.855856,none_observed
CMM:p40:1,CMM,40,1,native,1189,245,254,297,311,9,4.853061,0.824916,0.81672,none_observed
CMM:p40:2,CMM,40,2,native,1141,229,238,285,299,9,4.982533,0.803509,0.795987,none_observed
CMM:p41:0,CMM,41,0,native,1153,217,226,288,302,9,5.313364,0.753472,0.748344,none_observed
CMM:p41:1,CMM,41,1,native,449,91,100,112,126,9,4.934066,0.8125,0.793651,none_observed
CMM:p41:2,CMM,41,2,native,1355,249,258,338,352,9,5.441767,0.736686,0.732955,none_observed
CMM:p41:3,CMM,41,3,native,636,128,137,159,173,9,4.96875,0.805031,0.791908,none_observed
CMM:p42:0,CMM,42,0,native,1366,270,279,341,355,9,5.059259,0.791789,0.785915,none_observed
CMM:p42:1,CMM,42,1,native,1394,263,272,348,362,9,5.30038,0.755747,0.751381,none_observed
CMM:p42:2,CMM,42,2,native,682,139,148,170,184,9,4.906475,0.817647,0.804348,none_observed
CMM:p43:0,CMM,43,0,native,1402,295,304,350,364,9,4.752542,0.842857,0.835165,none_observed
CMM:p43:1,CMM,43,1,native,210,45,54,52,66,9,4.666667,0.865385,0.818182,none_observed
CMM:p43:2,CMM,43,2,native,655,144,153,163,177,9,4.548611,0.883436,0.864407,none_observed
CMM:p43:3,CMM,43,3,native,982,179,188,245,259,9,5.486034,0.730612,0.725869,none_observed
CMM:p43:4,CMM,43,4,native,707,138,147,176,190,9,5.123188,0.784091,0.773684,none_observed
CMM:p44:0,CMM,44,0,native,506,137,146,126,140,9,3.693431,1.087302,1.042857,none_observed
CMM:p44:1,CMM,44,1,native,1357,311,320,339,353,9,4.363344,0.917404,0.906516,none_observed
CMM:p44:2,CMM,44,2,native,458,81,90,114,128,9,5.654321,0.710526,0.703125,none_observed
CMM:p44:3,CMM,44,3,native,379,83,92,94,108,9,4.566265,0.882979,0.851852,none_observed
CMM:p45:0,CMM,45,0,native,1352,291,300,338,352,9,4.646048,0.860947,0.852273,none_observed
CMM:p45:1,CMM,45,1,native,254,50,59,63,77,9,5.08,0.793651,0.766234,none_observed
CMM:p45:2,CMM,45,2,native,1388,282,291,347,361,9,4.921986,0.81268,0.806094,none_observed
CMM:p45:3,CMM,45,3,native,1156,213,222,289,303,9,5.42723,0.737024,0.732673,none_observed
CMM:p46:0,CMM,46,0,native,699,149,158,174,188,9,4.691275,0.856322,0.840426,none_observed
CMM:p46:1,CMM,46,1,native,1170,256,265,292,306,9,4.570312,0.876712,0.866013,none_observed
CMM:p46:2,CMM,46,2,native,1360,262,271,340,354,9,5.19084,0.770588,0.765537,none_observed
CMM:p46:3,CMM,46,3,native,647,125,134,161,175,9,5.176,0.776398,0.765714,none_observed
CMM:p47:0,CMM,47,0,native,1346,144,153,336,350,9,9.347222,0.428571,0.437143,none_observed
CMM:p47:1,CMM,47,1,native,1356,287,296,339,353,9,4.724739,0.846608,0.838527,none_observed
CMM:p47:2,CMM,47,2,native,170,35,44,42,56,9,4.857143,0.833333,0.785714,none_observed
CMM:p48:0,CMM,48,0,native,559,131,140,139,153,9,4.267176,0.942446,0.915033,none_observed
CMM:p48:1,CMM,48,1,native,1383,291,300,345,359,9,4.752577,0.843478,0.835655,none_observed
CMM:p48:2,CMM,48,2,native,565,105,114,141,155,9,5.380952,0.744681,0.735484,none_observed
CMM:p49:0,CMM,49,0,native,1181,254,263,295,309,9,4.649606,0.861017,0.851133,none_observed
CMM:p49:1,CMM,49,1,native,588,116,125,147,161,9,5.068966,0.789116,0.776398,none_observed
CMM:p49:2,CMM,49,2,native,1102,243,252,275,289,9,4.534979,0.883636,0.871972,none_observed
CMM:p49:3,CMM,49,3,native,1241,268,277,310,324,9,4.630597,0.864516,0.854938,none_observed
CMM:p4:0,CMM,4,0,native,1348,139,150,337,351,11,9.697842,0.412463,0.42735,none_observed
CMM:p4:1,CMM,4,1,native,1318,183,194,329,343,11,7.202186,0.556231,0.565598,none_observed
CMM:p4:2,CMM,4,2,native,1333,174,185,333,347,11,7.66092,0.522523,0.533141,none_observed
CMM:p4:3,CMM,4,3,native,755,117,128,188,202,11,6.452991,0.62234,0.633663,none_observed
CMM:p50:0,CMM,50,0,native,907,192,201,226,240,9,4.723958,0.849558,0.8375,none_observed
CMM:p50:1,CMM,50,1,native,1332,273,282,333,347,9,4.879121,0.81982,0.81268,none_observed
CMM:p50:2,CMM,50,2,native,372,81,90,93,107,9,4.592593,0.870968,0.841121,none_observed
CMM:p50:3,CMM,50,3,native,1025,219,228,256,270,9,4.680365,0.855469,0.844444,none_observed
CMM:p51:0,CMM,51,0,native,1336,288,297,334,348,9,4.638889,0.862275,0.853448,none_observed
CMM:p51:1,CMM,51,1,native,1350,259,268,337,351,9,5.212355,0.768546,0.763533,none_observed
CMM:p51:2,CMM,51,2,native,1325,243,252,331,345,9,5.452675,0.734139,0.730435,none_observed
CMM:p51:3,CMM,51,3,native,201,36,45,50,64,9,5.583333,0.72,0.703125,none_observed
CMM:p52:0,CMM,52,0,native,471,98,107,117,131,9,4.806122,0.837607,0.816794,none_observed
CMM:p52:1,CMM,52,1,native,1394,253,262,348,362,9,5.509881,0.727011,0.723757,none_observed
CMM:p52:2,CMM,52,2,native,849,155,164,212,226,9,5.477419,0.731132,0.725664,none_observed
CMM:p53:0,CMM,53,0,native,1376,320,329,344,358,9,4.3,0.930233,0.918994,none_observed
CMM:p53:1,CMM,53,1,native,1316,290,299,329,343,9,4.537931,0.881459,0.87172,none_observed
CMM:p53:2,CMM,53,2,native,942,214,223,235,249,9,4.401869,0.910638,0.895582,none_observed
CMM:p54:0,CMM,54,0,native,1363,316,325,340,354,9,4.313291,0.929412,0.918079,none_observed
CMM:p54:1,CMM,54,1,native,685,183,192,171,185,9,3.743169,1.070175,1.037838,none_observed
CMM:p54:2,CMM,54,2,native,1315,309,318,328,342,9,4.255663,0.942073,0.929825,none_observed
CMM:p54:3,CMM,54,3,native,223,40,49,55,69,9,5.575,0.727273,0.710145,none_observed
CMM:p55:0,CMM,55,0,native,1334,275,284,333,347,9,4.850909,0.825826,0.818444,none_observed
CMM:p55:1,CMM,55,1,native,421,100,109,105,119,9,4.21,0.952381,0.915966,none_observed
CMM:p55:2,CMM,55,2,native,986,233,242,246,260,9,4.23176,0.947154,0.930769,none_observed
CMM:p55:3,CMM,55,3,native,1351,268,277,337,351,9,5.041045,0.795252,0.789174,none_observed
CMM:p56:0,CMM,56,0,native,977,227,236,244,258,9,4.303965,0.930328,0.914729,none_observed
CMM:p56:1,CMM,56,1,native,1070,223,232,267,281,9,4.798206,0.835206,0.825623,none_observed
CMM:p56:2,CMM,56,2,native,1235,272,281,308,322,9,4.540441,0.883117,0.872671,none_observed
CMM:p57:0,CMM,57,0,native,1322,342,351,330,344,9,3.865497,1.036364,1.020349,none_observed
CMM:p57:1,CMM,57,1,native,1403,307,316,350,364,9,4.570033,0.877143,0.868132,none_observed
CMM:p57:2,CMM,57,2,native,740,175,184,185,199,9,4.228571,0.945946,0.924623,none_observed
CMM:p57:3,CMM,57,3,native,438,102,111,109,123,9,4.294118,0.93578,0.902439,none_observed
CMM:p58:0,CMM,58,0,native,1136,203,212,284,298,9,5.596059,0.714789,0.711409,none_observed
CMM:p58:1,CMM,58,1,native,1066,269,278,266,280,9,3.962825,1.011278,0.992857,none_observed
CMM:p58:2,CMM,58,2,native,1355,314,323,338,352,9,4.315287,0.928994,0.917614,none_observed
CMM:p58:3,CMM,58,3,native,352,75,84,88,102,9,4.693333,0.852273,0.823529,none_observed
CMM:p59:0,CMM,59,0,native,1244,289,298,311,325,9,4.304498,0.92926,0.916923,none_observed
CMM:p59:1,CMM,59,1,native,1091,223,232,272,286,9,4.892377,0.819853,0.811189,none_observed
CMM:p5:0,CMM,5,0,native,1315,155,166,328,342,11,8.483871,0.472561,0.48538,none_observed
CMM:p5:1,CMM,5,1,native,1336,208,219,334,348,11,6.423077,0.622754,0.62931,none_observed
CMM:p5:2,CMM,5,2,native,1358,193,204,339,353,11,7.036269,0.569322,0.577904,none_observed
CMM:p5:3,CMM,5,3,native,805,112,123,201,215,11,7.1875,0.557214,0.572093,none_observed
CMM:p60:0,CMM,60,0,native,1056,217,226,264,278,9,4.866359,0.82197,0.81295,none_observed
CMM:p60:1,CMM,60,1,native,1239,229,238,309,323,9,5.41048,0.7411,0.736842,none_observed
CMM:p60:2,CMM,60,2,native,252,42,51,63,77,9,6.0,0.666667,0.662338,none_observed
CMM:p61:0,CMM,61,0,native,1057,216,225,264,278,9,4.893519,0.818182,0.809353,none_observed
CMM:p61:1,CMM,61,1,native,1097,235,244,274,288,9,4.668085,0.857664,0.847222,none_observed
CMM:p61:2,CMM,61,2,native,1209,222,231,302,316,9,5.445946,0.735099,0.731013,none_observed
CMM:p62:0,CMM,62,0,native,1245,227,236,311,325,9,5.484581,0.729904,0.726154,none_observed
CMM:p63:0,CMM,63,0,native,1344,265,274,336,350,9,5.071698,0.78869,0.782857,none_observed
CMM:p63:1,CMM,63,1,native,1161,224,233,290,304,9,5.183036,0.772414,0.766447,none_observed
CMM:p63:2,CMM,63,2,native,992,220,229,248,262,9,4.509091,0.887097,0.874046,none_observed
CMM:p64:0,CMM,64,0,native,862,166,175,215,229,9,5.192771,0.772093,0.764192,none_observed
CMM:p64:1,CMM,64,1,native,928,184,193,232,246,9,5.043478,0.793103,0.784553,none_observed
CMM:p64:2,CMM,64,2,native,794,94,103,198,212,9,8.446809,0.474747,0.485849,none_observed
CMM:p65:0,CMM,65,0,native,1382,203,212,345,359,9,6.807882,0.588406,0.590529,none_observed
CMM:p65:1,CMM,65,1,native,373,65,74,93,107,9,5.738462,0.698925,0.691589,none_observed
CMM:p65:2,CMM,65,2,native,1311,259,268,327,341,9,5.061776,0.792049,0.785924,none_observed
CMM:p65:3,CMM,65,3,native,489,91,100,122,136,9,5.373626,0.745902,0.735294,none_observed
CMM:p66:0,CMM,66,0,native,1343,176,185,335,349,9,7.630682,0.525373,0.530086,none_observed
CMM:p66:1,CMM,66,1,native,1286,166,175,321,335,9,7.746988,0.517134,0.522388,none_observed
CMM:p66:2,CMM,66,2,native,693,108,117,173,187,9,6.416667,0.624277,0.625668,none_observed
CMM:p67:0,CMM,67,0,native,950,197,206,237,251,9,4.822335,0.831224,0.820717,none_observed
CMM:p67:1,CMM,67,1,native,749,79,88,187,201,9,9.481013,0.42246,0.437811,none_observed
CMM:p67:2,CMM,67,2,native,1085,149,158,271,285,9,7.281879,0.549815,0.554386,none_observed
CMM:p68:0,CMM,68,0,native,1288,268,277,322,336,9,4.80597,0.832298,0.824405,none_observed
