pair_index,sep,left_chunk_id,right_chunk_id,left_rendered_tokens,right_rendered_tokens,joined_tokens,sep_incremental_tokens
69,\n,CRM:p30:0,CRM:p30:1,299,191,491,1
70,\n,CRM:p30:1,CRM:p31:0,191,181,372,0
71,\n,CRM:p31:0,CRM:p32:0,181,161,343,1
72,\n,CRM:p32:0,CRM:p33:0,161,184,346,1
73,\n,CRM:p33:0,CRM:p34:0,184,243,428,1
74,\n,CRM:p34:0,CRM:p35:0,243,132,376,1
75,\n,CRM:p35:0,CRM:p36:0,132,157,290,1
76,\n,CRM:p36:0,CRM:p37:0,157,109,267,1
77,\n,CRM:p37:0,CRM:p38:0,109,113,223,1
78,\n,CRM:p38:0,CRM:p39:0,113,125,239,1
79,\n,CRM:p39:0,CRM:p40:0,125,186,312,1
80,\n,CRM:p40:0,CRM:p41:0,186,109,296,1
81,\n,CRM:p41:0,CRM:p42:0,109,83,193,1
82,\n,CRM:p42:0,CRM:p43:0,83,51,135,1
83,\n,CRM:p43:0,CRM:p44:0,51,82,134,1
84,\n,CRM:p44:0,CRM:p44:1,82,63,146,1
85,\n,CRM:p44:1,CRM:p45:0,63,294,358,1
86,\n,CRM:p45:0,CRM:p45:1,294,180,474,0
87,\n,CRM:p45:1,CRM:p46:0,180,217,398,1
88,\n,CRM:p46:0,CRM:p47:0,217,126,344,1
89,\n,CRM:p47:0,CRM:p48:0,126,205,331,0
90,\n,CRM:p48:0,CRM:p48:1,205,87,293,1
91,\n,CRM:p48:1,CRM:p48:2,87,172,259,0
92,\n,CRM:p48:2,CRM:p49:0,172,49,222,1
93,\n,CRM:p49:0,CRM:p49:1,49,163,213,1
94,\n,CRM:p49:1,CRM:p49:2,163,80,244,1
95,\n,CRM:p49:2,CRM:p49:3,80,290,371,1
96,\n,CRM:p49:3,CRM:p49:4,290,279,570,1
97,\n,CRM:p49:4,CRM:p49:5,279,40,320,1
98,\n,CRM:p49:5,CRM:p50:0,40,61,102,1
99,\n,CRM:p50:0,CRM:p51:0,61,86,148,1
100,\n,CRM:p51:0,CRM:p51:1,86,113,200,1
101,\n,CRM:p51:1,CRM:p51:2,113,90,204,1
102,\n,CRM:p51:2,CRM:p52:0,90,280,371,1
103,\n,CRM:p52:0,CRM:p52:1,280,96,376,0
104,\n,CRM:p52:1,CRM:p52:2,96,131,228,1
105,\n,CRM:p52:2,CRM:p52:3,131,75,207,1
106,\n,CRM:p52:3,CRM:p53:0,75,259,335,1
107,\n,CRM:p53:0,CRM:p53:1,259,156,415,0
108,\n,CRM:p53:1,CRM:p54:0,156,212,369,1
109,\n,CRM:p54:0,CRM:p54:1,212,237,449,0
110,\n,CRM:p54:1,CRM:p55:0,237,205,442,0
111,\n,CRM:p55:0,CRM:p55:1,205,187,392,0
112,\n,CRM:p55:1,CRM:p56:0,187,305,492,0
113,\n,CRM:p56:0,CRM:p56:1,305,70,375,0
114,\n,CRM:p56:1,CRM:p57:0,70,216,287,1
115,\n,CRM:p57:0,CRM:p57:1,216,127,343,0
116,\n,CRM:p57:1,CRM:p58:0,127,212,339,0
117,\n,CRM:p58:0,CRM:p58:1,212,67,280,1
118,\n,CRM:p58:1,CRM:p59:0,67,136,203,0
119,\n,CRM:p59:0,CRM:p59:1,136,121,257,0
120,\n,CRM:p59:1,CRM:p59:2,121,87,208,0
121,\n,CRM:p59:2,CRM:p60:0,87,98,186,1
122,\n,CRM:p60:0,CRM:p61:0,98,79,178,1
123,\n,CRM:p61:0,CRM:p61:1,79,86,166,1
124,\n,CRM:p61:1,CRM:p62:0,86,256,343,1
125,\n,CRM:p62:0,CRM:p62:1,256,175,431,0
126,\n,CRM:p62:1,CRM:p63:0,175,213,389,1
127,\n,CRM:p63:0,CRM:p63:1,213,127,340,0
128,\n,CRM:p63:1,CRM:p64:0,127,237,364,0
129,\n,CRM:p64:0,CRM:p65:0,237,79,317,1
130,\n,CRM:p65:0,CRM:p65:1,79,107,187,1
131,\n,CRM:p65:1,CRM:p65:2,107,33,141,1
132,\n,CRM:p65:2,CRM:p66:0,33,273,307,1
133,\n,CRM:p66:0,CRM:p66:1,273,193,467,1
134,\n,CRM:p66:1,CRM:p68:0,193,57,250,0
135,\n,CRM:p68:0,CRM:p69:0,57,269,326,0
136,\n,CRM:p69:0,CRM:p69:1,269,280,549,0
137,\n,CRM:p69:1,CRM:p69:2,280,89,370,1
138,\n,CRM:p69:2,CRM:p70:0,89,236,325,0
139,\n,CRM:p70:0,CRM:p71:0,236,82,319,1
140,\n,CRM:p71:0,CRM:p71:1,82,78,160,0
141,\n,CRM:p71:1,CRM:p71:2,78,134,213,1
142,\n,CRM:p71:2,CRM:p71:3,134,115,250,1
143,\n,CRM:p71:3,CRM:p71:4,115,111,227,1
144,\n,CRM:p71:4,CRM:p71:5,111,113,225,1
145,\n,CRM:p71:5,CRM:p71:6,113,126,240,1
146,\n,CRM:p71:6,CRM:p71:7,126,123,250,1
147,\n,CRM:p71:7,CRM:p71:8,123,135,258,0
148,\n,CRM:p71:8,CRM:p71:9,135,109,244,0
149,\n,CRM:p71:9,CRM:p71:10,109,104,214,1
150,\n,CRM:p71:10,CRM:p72:0,104,206,311,1
151,\n,CRM:p72:0,CRM:p72:1,206,199,406,1
152,\n,CRM:p72:1,CRM:p72:2,199,181,381,1
153,\n,CRM:p72:2,CRM:p72:3,181,220,402,1
154,\n,CRM:p72:3,CRM:p72:4,220,197,418,1
155,\n,CRM:p72:4,CRM:p72:5,197,60,258,1
156,\n,CRM:p72:5,CRM:p73:0,60,137,198,1
157,\n,CRM:p73:0,CRM:p73:1,137,126,263,0
158,\n,CRM:p73:1,CRM:p75:0,126,99,226,1
159,\n,CRM:p75:0,CRM:p75:1,99,34,134,1
160,\n,CRM:p75:1,CRM:p75:2,34,97,131,0
161,\n,CRM:p75:2,CRM:p75:3,97,95,193,1
162,\n,CRM:p75:3,CRM:p75:4,95,27,123,1
163,\n,CRM:p75:4,CRM:p75:5,27,89,117,1
164,\n,CRM:p75:5,CRM:p75:6,89,26,116,1
165,\n,CRM:p75:6,CRM:p75:7,26,102,129,1
166,\n,CRM:p75:7,CRM:p75:8,102,119,222,1
167,\n,CRM:p75:8,CRM:p75:9,119,70,190,1
168,\n,CRM:p75:9,CRM:p75:10,70,121,191,0
169,\n,CRM:p75:10,CRM:p75:11,121,55,177,1
170,\n,CRM:p75:11,CRM:p75:12,55,99,155,1
171,\n,CRM:p75:12,CRM:p75:13,99,30,130,1
172,\n,CRM:p75:13,CRM:p75:14,30,86,117,1
173,\n,CRM:p75:14,CRM:p75:15,86,100,187,1
174,\n,CRM:p75:15,CRM:p75:16,100,116,217,1
175,\n,CRM:p75:16,CRM:p75:17,116,46,163,1
176,\n,CRM:p75:17,CRM:p75:18,46,90,137,1
177,\n,CRM:p75:18,CRM:p75:19,90,103,194,1
178,\n,CRM:p75:19,CRM:p75:20,103,37,141,1
179,\n,CRM:p75:20,CRM:p75:21,37,101,139,1
180,\n,CRM:p75:21,CRM:p75:22,101,85,187,1
181,\n,CRM:p75:22,CRM:p75:23,85,28,114,1
182,\n,CRM:p75:23,CRM:p75:24,28,100,129,1
183,\n,CRM:p75:24,CRM:p75:25,100,95,196,1
184,\n,CRM:p75:25,CRM:p75:26,95,28,124,1
185,\n,CRM:p75:26,CRM:p75:27,28,88,117,1
186,\n,CRM:p75:27,CRM:p75:28,88,28,117,1
187,\n,CRM:p75:28,CRM:p75:29,28,83,112,1
188,\n,CRM:p75:29,CRM:p75:30,83,90,174,1
189,\n,CRM:p75:30,CRM:p75:31,90,28,119,1
190,\n,CRM:p75:31,CRM:p75:32,28,113,142,1
191,\n,CRM:p75:32,CRM:p75:33,113,39,153,1
192,\n,CRM:p75:33,CRM:p75:34,39,99,139,1
193,\n,CRM:p75:34,CRM:p75:35,99,112,212,1
194,\n,CRM:p75:35,CRM:p75:36,112,25,138,1
195,\n,CRM:p75:36,CRM:p75:37,25,80,106,1
196,\n,CRM:p75:37,CRM:p75:38,80,89,170,1
197,\n,CRM:p75:38,CRM:p75:39,89,92,182,1
198,\n,CRM:p75:39,CRM:p75:40,92,95,188,1
199,\n,CRM:p75:40,CRM:p75:41,95,80,176,1
200,\n,CRM:p75:41,CRM:p75:42,80,85,166,1
201,\n,CRM:p75:42,CRM:p75:43,85,90,176,1
202,\n,CRM:p75:43,CRM:p75:44,90,86,177,1
203,\n,CRM:p75:44,CRM:p75:45,86,106,193,1
204,\n,CRM:p75:45,CRM:p75:46,106,89,196,1
205,\n,CRM:p75:46,CRM:p75:47,89,172,262,1
206,\n,CRM:p75:47,CRM:p75:48,172,177,350,1
207,\n,CRM:p75:48,CRM:p75:49,177,100,278,1
208,\n,CRM:p75:49,CRM:p75:50,100,89,190,1
209,\n,CRM:p75:50,CRM:p75:51,89,87,177,1
210,\n,CRM:p75:51,CRM:p75:52,87,88,176,1
211,\n,CRM:p75:52,CRM:p76:0,88,239,328,1
212,\n,CRM:p76:0,CRM:p76:1,239,212,452,1
213,\n,CRM:p76:1,CRM:p76:2,212,184,397,1
214,\n,CRM:p76:2,CRM:p78:0,184,65,250,1
215,\n,CRM:p78:0,CRM:p79:0,65,167,233,1
216,\n,CRM:p79:0,CRM:p80:0,167,180,348,1
217,\n,CRM:p80:0,CRM:p80:1,180,234,414,0
218,\n,CRM:p80:1,CRM:p80:2,234,192,426,0
219,\n,CRM:p80:2,CRM:p80:3,192,164,356,0
220,\n,CRM:p80:3,CRM:p81:0,164,161,326,1
221,\n,CRM:p81:0,CRM:p82:0,161,157,318,0
222,\n,CRM:p82:0,CRM:p83:0,157,284,442,1
223,\n,CRM:p83:0,CRM:p83:1,284,35,320,1
224,\n,CRM:p83:1,CRM:p84:0,35,84,120,1
225,\n,CRM:p84:0,CRM:p84:1,84,130,215,1
226,\n,CRM:p84:1,CRM:p85:0,130,259,390,1
227,\n,CRM:p85:0,CRM:p85:1,259,120,380,1
228,\n,CRM:p85:1,CRM:p86:0,120,242,363,1
229,\n,CRM:p86:0,CRM:p86:1,242,241,483,0
230,\n,CRM:p86:1,CRM:p87:0,241,147,389,1
231,\n,CRM:p87:0,CRM:p88:0,147,202,350,1
232,\n,CRM:p88:0,CRM:p89:0,202,104,306,0
233,\n,CRM:p89:0,CRM:p90:0,104,56,161,1
234,\n,CRM:p90:0,CRM:p91:0,56,81,138,1
235,\n,CRM:p91:0,CRM:p92:0,81,264,346,1
236,\n,CRM:p92:0,CRM:p92:1,264,81,346,1
237,\n,CRM:p92:1,CRM:p93:0,81,73,155,1
238,\n,CRM:p93:0,CRM:p93:1,73,153,227,1
239,\n,CRM:p93:1,CRM:p93:2,153,111,265,1
240,\n,CRM:p93:2,CRM:p94:0,111,187,299,1
241,\n,CRM:p94:0,CRM:p94:1,187,133,321,1
242,\n,CRM:p94:1,CRM:p94:2,133,45,179,1
243,\n,CRM:p94:2,CRM:p95:0,45,80,126,1
244,\n,CRM:p95:0,CRM:p95:1,80,87,168,1
245,\n,CRM:p95:1,CRM:p96:0,87,277,365,1
246,\n,CRM:p96:0,CRM:p96:1,277,133,411,1
247,\n,CRM:p96:1,CRM:p97:0,133,362,496,1
248,\n,CRM:p97:0,CRM:p98:0,362,296,659,1
249,\n,CRM:p98:0,CRM:p98:1,296,86,382,0
250,\n,CRM:p98:1,CRM:p99:0,86,240,326,0
251,\n,CRM:p99:0,CRM:p99:1,240,280,520,0
252,\n,CRM:p99:1,CRM:p100:0,280,310,591,1
253,\n,CRM:p100:0,CRM:p100:1,310,280,590,0
254,\n,CRM:p100:1,CRM:p100:2,280,93,373,0
255,\n,CRM:p100:2,CMM:p2:0,93,314,408,1
256,\n,CMM:p2:0,CMM:p2:1,314,373,688,1
257,\n,CMM:p2:1,CMM:p2:2,373,79,453,1
258,\n,CMM:p2:2,CMM:p3:0,79,404,484,1
259,\n,CMM:p3:0,CMM:p3:1,404,241,646,1
260,\n,CMM:p3:1,CMM:p4:0,241,150,392,1
261,\n,CMM:p4:0,CMM:p4:1,150,194,345,1
262,\n,CMM:p4:1,CMM:p4:2,194,185,380,1
263,\n,CMM:p4:2,CMM:p4:3,185,128,314,1
264,\n,CMM:p4:3,CMM:p5:0,128,166,295,1
265,\n,CMM:p5:0,CMM:p5:1,166,219,386,1
266,\n,CMM:p5:1,CMM:p5:2,219,204,424,1
267,\n,CMM:p5:2,CMM:p5:3,204,123,328,1
268,\n,CMM:p5:3,CMM:p6:0,123,172,296,1
269,\n,CMM:p6:0,CMM:p6:1,172,213,386,1
270,\n,CMM:p6:1,CMM:p6:2,213,222,436,1
271,\n,CMM:p6:2,CMM:p6:3,222,91,314,1
272,\n,CMM:p6:3,CMM:p7:0,91,125,217,1
273,\n,CMM:p7:0,CMM:p7:1,125,96,222,1
274,\n,CMM:p7:1,CMM:p7:2,96,112,209,1
275,\n,CMM:p7:2,CMM:p7:3,112,98,211,1
276,\n,CMM:p7:3,CMM:p8:0,98,206,305,1
277,\n,CMM:p8:0,CMM:p8:1,206,162,369,1
278,\n,CMM:p8:1,CMM:p8:2,162,34,197,1
279,\n,CMM:p8:2,CMM:p9:0,34,233,268,1
280,\n,CMM:p9:0,CMM:p10:0,233,351,584,0
281,\n,CMM:p10:0,CMM:p10:1,351,66,418,1
282,\n,CMM:p10:1,CMM:p11:0,66,271,338,1
283,\n,CMM:p11:0,CMM:p12:0,271,264,535,0
284,\n,CMM:p12:0,CMM:p12:1,264,261,525,0
285,\n,CMM:p12:1,CMM:p12:2,261,67,328,0
286,\n,CMM:p12:2,CMM:p13:0,67,290,357,0
287,\n,CMM:p13:0,CMM:p13:1,290,117,408,1
288,\n,CMM:p13:1,CMM:p13:2,117,258,375,0
289,\n,CMM:p13:2,CMM:p13:3,258,207,465,0
290,\n,CMM:p13:3,CMM:p14:0,207,237,445,1
291,\n,CMM:p14:0,CMM:p14:1,237,152,389,0
292,\n,CMM:p14:1,CMM:p14:2,152,157,309,0
293,\n,CMM:p14:2,CMM:p14:3,157,153,311,1
294,\n,CMM:p14:3,CMM:p15:0,153,250,403,0
295,\n,CMM:p15:0,CMM:p15:1,250,202,452,0
296,\n,CMM:p15:1,CMM:p15:2,202,151,353,0
297,\n,CMM:p15:2,CMM:p16:0,151,234,385,0
298,\n,CMM:p16:0,CMM:p16:1,234,240,474,0
299,\n,CMM:p16:1,CMM:p16:2,240,262,502,0
300,\n,CMM:p16:2,CMM:p17:0,262,192,454,0
301,\n,CMM:p17:0,CMM:p17:1,192,250,443,1
302,\n,CMM:p17:1,CMM:p17:2,250,236,487,1
303,\n,CMM:p17:2,CMM:p18:0,236,257,493,0
304,\n,CMM:p18:0,CMM:p18:1,257,282,539,0
305,\n,CMM:p18:1,CMM:p18:2,282,154,436,0
306,\n,CMM:p18:2,CMM:p19:0,154,266,420,0
307,\n,CMM:p19:0,CMM:p19:1,266,86,352,0
308,\n,CMM:p19:1,CMM:p20:0,86,181,267,0
309,\n,CMM:p20:0,CMM:p20:1,181,312,494,1
310,\n,CMM:p20:1,CMM:p20:2,312,309,622,1
311,\n,CMM:p20:2,CMM:p20:3,309,124,434,1
312,\n,CMM:p20:3,CMM:p21:0,124,310,435,1
313,\n,CMM:p21:0,CMM:p21:1,310,276,586,0
314,\n,CMM:p21:1,CMM:p21:2,276,68,344,0
315,\n,CMM:p21:2,CMM:p22:0,68,290,358,0
316,\n,CMM:p22:0,CMM:p23:0,290,277,568,1
317,\n,CMM:p23:0,CMM:p23:1,277,125,402,0
318,\n,CMM:p23:1,CMM:p23:2,125,177,303,1
319,\n,CMM:p23:2,CMM:p23:3,177,169,346,0
320,\n,CMM:p23:3,CMM:p24:0,169,92,261,0
321,\n,CMM:p24:0,CMM:p24:1,92,219,312,1
322,\n,CMM:p24:1,CMM:p24:2,219,228,448,1
323,\n,CMM:p24:2,CMM:p24:3,228,27,256,1
324,\n,CMM:p24:3,CMM:p25:0,27,129,157,1
325,\n,CMM:p25:0,CMM:p26:0,129,131,260,0
326,\n,CMM:p26:0,CMM:p27:0,131,86,217,0
327,\n,CMM:p27:0,CMM:p27:1,86,280,366,0
328,\n,CMM:p27:1,CMM:p27:2,280,77,358,1
329,\n,CMM:p27:2,CMM:p27:3,77,188,265,0
330,\n,CMM:p27:3,CMM:p27:4,188,290,478,0
331,\n,CMM:p27:4,CMM:p28:0,290,310,601,1
332,\n,CMM:p28:0,CMM:p28:1,310,138,449,1
333,\n,CMM:p28:1,CMM:p28:2,138,263,402,1
334,\n,CMM:p28:2,CMM:p29:0,263,89,353,1
335,\n,CMM:p29:0,CMM:p29:1,89,317,406,0
336,\n,CMM:p29:1,CMM:p29:2,317,174,491,0
337,\n,CMM:p29:2,CMM:p29:3,174,193,367,0
338,\n,CMM:p29:3,CMM:p30:0,193,192,385,0
339,\n,CMM:p30:0,CMM:p30:1,192,328,520,0
340,\n,CMM:p30:1,CMM:p30:2,328,149,478,1
341,\n,CMM:p30:2,CMM:p30:3,149,269,418,0
342,\n,CMM:p30:3,CMM:p31:0,269,344,613,0
343,\n,CMM:p31:0,CMM:p31:1,344,322,666,0
344,\n,CMM:p31:1,CMM:p31:2,322,72,395,1
345,\n,CMM:p31:2,CMM:p31:3,72,221,294,1
346,\n,CMM:p31:3,CMM:p32:0,221,259,480,0
347,\n,CMM:p32:0,CMM:p32:1,259,305,564,0
348,\n,CMM:p32:1,CMM:p32:2,305,143,448,0
349,\n,CMM:p32:2,CMM:p33:0,143,333,476,0
350,\n,CMM:p33:0,CMM:p33:1,333,326,659,0
351,\n,CMM:p33:1,CMM:p33:2,326,179,505,0
352,\n,CMM:p33:2,CMM:p34:0,179,311,490,0
353,\n,CMM:p34:0,CMM:p34:1,311,87,398,0
354,\n,CMM:p34:1,CMM:p34:2,87,281,368,0
355,\n,CMM:p34:2,CMM:p34:3,281,52,333,0
356,\n,CMM:p34:3,CMM:p34:4,52,168,220,0
357,\n,CMM:p34:4,CMM:p35:0,168,266,434,0
358,\n,CMM:p35:0,CMM:p35:1,266,263,529,0
359,\n,CMM:p35:1,CMM:p35:2,263,310,573,0
360,\n,CMM:p35:2,CMM:p35:3,310,44,354,0
361,\n,CMM:p35:3,CMM:p36:0,44,271,315,0
362,\n,CMM:p36:0,CMM:p36:1,271,150,421,0
363,\n,CMM:p36:1,CMM:p36:2,150,223,373,0
364,\n,CMM:p36:2,CMM:p36:3,223,149,373,1
365,\n,CMM:p36:3,CMM:p37:0,149,209,359,1
366,\n,CMM:p37:0,CMM:p37:1,209,216,426,1
367,\n,CMM:p37:1,CMM:p37:2,216,222,438,0
368,\n,CMM:p37:2,CMM:p38:0,222,231,453,0
369,\n,CMM:p38:0,CMM:p39:0,231,186,418,1
370,\n,CMM:p39:0,CMM:p39:1,186,134,320,0
371,\n,CMM:p39:1,CMM:p39:2,134,171,305,0
372,\n,CMM:p39:2,CMM:p39:3,171,230,401,0
373,\n,CMM:p39:3,CMM:p40:0,230,285,516,1
374,\n,CMM:p40:0,CMM:p40:1,285,254,539,0
375,\n,CMM:p40:1,CMM:p40:2,254,238,492,0
376,\n,CMM:p40:2,CMM:p41:0,238,226,464,0
377,\n,CMM:p41:0,CMM:p41:1,226,100,326,0
378,\n,CMM:p41:1,CMM:p41:2,100,258,358,0
379,\n,CMM:p41:2,CMM:p41:3,258,137,396,1
380,\n,CMM:p41:3,CMM:p42:0,137,279,416,0
381,\n,CMM:p42:0,CMM:p42:1,279,272,552,1
382,\n,CMM:p42:1,CMM:p42:2,272,148,421,1
383,\n,CMM:p42:2,CMM:p43:0,148,304,452,0
384,\n,CMM:p43:0,CMM:p43:1,304,54,359,1
385,\n,CMM:p43:1,CMM:p43:2,54,153,207,0
386,\n,CMM:p43:2,CMM:p43:3,153,188,341,0
387,\n,CMM:p43:3,CMM:p43:4,188,147,335,0
388,\n,CMM:p43:4,CMM:p44:0,147,146,293,0
389,\n,CMM:p44:0,CMM:p44:1,146,320,467,1
390,\n,CMM:p44:1,CMM:p44:2,320,90,410,0
391,\n,CMM:p44:2,CMM:p44:3,90,92,183,1
392,\n,CMM:p44:3,CMM:p45:0,92,300,392,0
393,\n,CMM:p45:0,CMM:p45:1,300,59,359,0
394,\n,CMM:p45:1,CMM:p45:2,59,291,350,0
395,\n,CMM:p45:2,CMM:p45:3,291,222,513,0
396,\n,CMM:p45:3,CMM:p46:0,222,158,380,0
397,\n,CMM:p46:0,CMM:p46:1,158,265,423,0
398,\n,CMM:p46:1,CMM:p46:2,265,271,536,0
399,\n,CMM:p46:2,CMM:p46:3,271,134,405,0
400,\n,CMM:p46:3,CMM:p47:0,134,153,287,0
401,\n,CMM:p47:0,CMM:p47:1,153,296,450,1
402,\n,CMM:p47:1,CMM:p47:2,296,44,341,1
403,\n,CMM:p47:2,CMM:p48:0,44,140,184,0
404,\n,CMM:p48:0,CMM:p48:1,140,300,441,1
405,\n,CMM:p48:1,CMM:p48:2,300,114,415,1
406,\n,CMM:p48:2,CMM:p49:0,114,263,377,0
407,\n,CMM:p49:0,CMM:p49:1,263,125,388,0
408,\n,CMM:p49:1,CMM:p49:2,125,252,377,0
409,\n,CMM:p49:2,CMM:p49:3,252,277,529,0
410,\n,CMM:p49:3,CMM:p50:0,277,201,478,0
411,\n,CMM:p50:0,CMM:p50:1,201,282,483,0
412,\n,CMM:p50:1,CMM:p50:2,282,90,373,1
413,\n,CMM:p50:2,CMM:p50:3,90,228,318,0
414,\n,CMM:p50:3,CMM:p51:0,228,297,525,0
415,\n,CMM:p51:0,CMM:p51:1,297,268,566,1
416,\n,CMM:p51:1,CMM:p51:2,268,252,521,1
417,\n,CMM:p51:2,CMM:p51:3,252,45,298,1
418,\n,CMM:p51:3,CMM:p52:0,45,107,152,0
419,\n,CMM:p52:0,CMM:p52:1,107,262,369,0
420,\n,CMM:p52:1,CMM:p52:2,262,164,426,0
421,\n,CMM:p52:2,CMM:p53:0,164,329,493,0
422,\n,CMM:p53:0,CMM:p53:1,329,299,629,1
423,\n,CMM:p53:1,CMM:p53:2,299,223,522,0
424,\n,CMM:p53:2,CMM:p54:0,223,325,548,0
425,\n,CMM:p54:0,CMM:p54:1,325,192,517,0
426,\n,CMM:p54:1,CMM:p54:2,192,318,510,0
427,\n,CMM:p54:2,CMM:p54:3,318,49,368,1
428,\n,CMM:p54:3,CMM:p55:0,49,284,333,0
429,\n,CMM:p55:0,CMM:p55:1,284,109,394,1
430,\n,CMM:p55:1,CMM:p55:2,109,242,351,0
431,\n,CMM:p55:2,CMM:p55:3,242,277,519,0
432,\n,CMM:p55:3,CMM:p56:0,277,236,514,1
433,\n,CMM:p56:0,CMM:p56:1,236,232,468,0
434,\n,CMM:p56:1,CMM:p56:2,232,281,514,1
435,\n,CMM:p56:2,CMM:p57:0,281,351,632,0
436,\n,CMM:p57:0,CMM:p57:1,351,316,667,0
437,\n,CMM:p57:1,CMM:p57:2,316,184,500,0
438,\n,CMM:p57:2,CMM:p57:3,184,111,295,0
439,\n,CMM:p57:3,CMM:p58:0,111,212,323,0
440,\n,CMM:p58:0,CMM:p58:1,212,278,490,0
441,\n,CMM:p58:1,CMM:p58:2,278,323,601,0
442,\n,CMM:p58:2,CMM:p58:3,323,84,408,1
443,\n,CMM:p58:3,CMM:p59:0,84,298,382,0
444,\n,CMM:p59:0,CMM:p59:1,298,232,530,0
445,\n,CMM:p59:1,CMM:p60:0,232,226,458,0
446,\n,CMM:p60:0,CMM:p60:1,226,238,464,0
